功效,组成,适应证,按语,方源,制作,药名,编号,分类
,绿茶5g，白梅花3~5g，蜂蜜25g，大枣30g。,癔症。,白梅花为花类药物，能疏肝和胃，理气止痛，止血，对肝气郁结所致的兴趣减少、肋胁作痛、不欲饮食、癔症有效。《百草镜》云:“梅花开胃散郁。煮粥食，助清阳之气上升。”大枣具有补虚益气、养血安神、健脾和胃等功效，是脾胃虚弱、气血不足、倦怠无力、失眠等病证患者良好的保健营养品。本方代茶温服，日服1剂，一般人群均可服用。若缺白梅花，可改用白茅花或山茶花。,经验方。,先将大枣剖开，放入砂锅，加水煎汤后滤过取汁，再用汤冲泡绿茶、白梅花，加入适量蜂蜜即成。,绿茶白梅花汤,793,内科-神经衰弱
,绿茶0.5~1g，合欢花5~15g，大枣25g。,抑郁症。,合欢花具有安神解郁功效，适用于愤怒忧郁、虚烦不安、健忘失眠等。合欢花有似含羞的少女绽开的红唇，又如腼腆少女羞出之红晕，令人悦目心动，烦怒顿消。时人赞曰：“叶似含羞草，花如锦绣团。见之烦恼无，闻之沁心脾。”大枣具有补虚益气、养血安神、健脾和胃等功效。本方代茶温服，日服1剂，一般人群均可服用。但须注意，孕妇禁用。,经验方。,先将大枣剖开，放入砂锅，加水煎汤后滤过取汁，再用汤冲泡绿茶、合欢花即成。服10剂后合欢花改为百合花15g，以后依此交替续服。,绿茶合欢汤,794,内科-神经衰弱
,绿茶0.5~1g，代代花3~5g，炙甘草3g。,心情紧张。,代代花略微有点苦，但香气浓郁，闻之令人忘倦。可镇定心情，解除紧张不安，还有助于缓解压力所导致的腹泻，能清血、促进循环。《浙江中药手册》谓其:“调气疏肝。治胸膈及脘宇痞痛。”炙甘草可补脾和胃，亦可缓急止痛。本方代茶温服，日服1剂。注意:方中炙甘草不宜与大戟、芫花、甘遂同用，本方孕妇禁用。,经验方。,先将炙甘草洗净切细，放入砂锅，加水煎汤后滤过取汁，再用汤冲泡绿茶、代代花即成。,绿茶代代花汤,795,内科-神经衰弱
,煅龙齿9g，石菖蒲3g。,记忆力减退，失眠多梦，心悸怔忡，睡卧不宁，头昏目眩等。,煅龙齿，镇惊安神、除烦热，治惊痫癫狂、烦热不安、失眠多梦。《神农本草经》谓其:“主小儿大人惊痫，癫疾狂走，心下结气，不能喘息，诸痉。”石菖蒲，开窍豁痰、理气活血、散风去湿，治癫痫、痰厥、热病神昏、健忘、气闭耳聋、心胸烦闷、胃痛、腹痛、风寒湿痹、痈疽肿毒、跌打损伤。《神农本草经》谓其:“主风寒湿痹，咳逆上气，开心孔，补五脏，通九窍，明耳目，出音声。”本方代茶温饮，不拘时常服，冲饮至味淡。注意：阴虚阳亢、烦躁汗多、咳嗽、吐血、精滑者慎服。,《中国益寿食谱》。,龙齿，古代哺乳动物如象类、犀牛类、三趾马等的牙齿的化石。挖出后，除去泥土，敲去牙床。取刷净的龙齿，在无烟的炉火上或入坩埚内煅红透，取出，放凉。石菖蒲，天南星科植物石菖蒲的根茎。秋季采挖，除去茎叶及须根，洗净。或切成10cm左右的小段，晒干。将两者放入砂锅，加水煎煮后去渣取汁即成。,安神茶,796,内科-神经衰弱
,红茶0.5~1g，合欢皮9~15g，红糖25g，甘草3g，芡实25g。,忧郁症，用于情绪低落、思虑迟钝、精神衰颓者。,合欢皮味甘性平，入心、肝二经，能解郁、活血、宁心。《神农本草经》谓其:“主安五脏，和心志，令人欢乐无忧。”《日华子本草》记载其:“煎膏，消痈肿并续筋骨。”芡实，固肾涩精、补脾止泄，治遗精、淋浊、带下、小便不禁、大便泄泻。《神农本草经》谓其:“主湿痹腰脊膝痛，补中除暴疾，益精气，强志，令耳目聪明。”本方代茶温服，日服1剂。注意:外感未愈者不宜饮用。,经验方。,将合欢皮、甘草、芡实洗净，放入砂锅，加水1000ml，煮沸10分钟后去渣取汁，加入红茶，煎煮至药汁剩一半，加入红糖即成。,红茶合欢皮汤,797,内科-忧郁症
,茉莉花3g，木香2g，花茶3g。,肝气郁滞诸病证。,茉莉花味辛、甘，性平，能清热解毒、利湿、理气和中、开郁辟秽，主治下痢腹痛、目赤肿痛、疮疡肿毒等病证。茉莉花还可提取茉莉花油，油中主要成分为苯甲醇及其酯类、茉莉花素、芳樟醇等，具有行气止痛、解郁散结的作用，可缓解胸腹胀痛、下痢里急后重等症状，为止痛之食疗佳品；对多种细菌有抑制作用，内服外用，可治疗目赤、疮疡、皮肤溃烂等炎性疾患。茉莉花多用于泡茶，在中国的花茶里，有“可闻春天的气味”之美誉，是春季茶饮之上品。常饮茉莉花，有清肝明目、生津止渴、祛痰治痢、通便利水、祛风解表、疗痿、坚齿、益气力、降血压、强心、防龋、防辐射损伤、抗癌、抗衰老之功效，使人延年益寿、身心健康。木香味辛、苦，性温，行气止痛、理气疏肝、健脾消滞。两者合用能理气开郁、和中辟秽。此茶阴虚津液不足、火热内盛、燥结便秘者慎食。,经验方。,用开水冲泡后饮用。,茉莉花木香茶,798,内科-忧郁症
,郁金5g，细辛0.5g，干姜3g，红茶3g。,厥逆不振，肢冷，胁肋苦闷。,郁金活血止痛、行气解郁、凉血清心。细辛能解表散寒、祛风止痛、温肺化饮、通窍。干姜具有温中回阳、温肺化饮的作用。姜有生姜与干姜的区别:生姜性温，以温胃为主，有止呕良效，人称“呕家圣药”，兼具温肺之功。生姜虽温但不燥，不会引起咽喉疼痛，安全性相当高。而干姜则味辛，性热，归脾、胃、肾、心、肺经，其热气能行五脏，不可多用、滥用。该茶孕妇慎用。,经验方。,郁金多于冬季或早春挖取块根，洗净后煮熟晒干。细辛9月中旬挖出全部根系，去泥土阴干备用。干姜秋季或初冬采挖。该茶用250ml开水冲泡后饮用，冲饮至味淡。,郁细姜茶,799,内科-忧郁症
,郁金5g，猪牙皂角1g，防风3g，川芎3g，蜈蚣1条，花茶3g。,癫痫。,郁金具活血止痛、行气解郁、凉血清心之功。《神农本草经》记载:猪牙皂“主风痹死肌，邪气，风头泪出，利九窍。通窍，涤痰，搜风，杀虫”。可治中风口噤、头风、风痼、喉痹、痰喘、痞满积滞、关格不通、痈肿、疥癞、癣疾、头疮等。防风，祛风解表、胜湿止痛、止痉定搐。川芎能活血祛瘀、行气开郁、祛风止痛。蜈蚣具息风止痉、解毒散结、通络止痛之功。蜈蚣有毒，用量不可过大。孕妇忌服。,经验方。,蜈蚣，捕捉晒干备用。用郁金、猪牙皂角、防风、川芎、蜈蚣的煎煮液350ml，冲泡花茶饮用。,郁皂茶,800,内科-忧郁症
滋肾补心，安神。,枸杞5g，龙眼肉3g，绿茶3g，冰糖10g。,,枸杞味甘，性平，能滋补肝肾、益精明目。龙眼肉性温，味甘，具有抑菌作用、抗衰老作用，以及提高耐缺氧时间和耐高温、耐低温能力的药理作用。能补益心脾、养血安神，用于气血不足，心悸怔忡，健忘失眠，血虚萎黄。早在汉朝时期，龙眼就已作为药用。李时珍说“龙眼大补”，“食品以荔枝为贵，而资益则龙眼为良”。龙眼肉所含糖分很高，且为易消化吸收的单糖，可以被人体直接吸收，故体弱贫血、年老体衰、久病体虚者经常吃些龙眼肉很有补益作用；妇女产后，龙眼肉也是重要的调补食品。两药合用，能滋肾补心，安神。本方代茶温饮，每日1~2剂。注意:方中龙眼肉，脾胃有痰火及湿滞停饮、消化不良、恶心呕吐者忌服。孕妇，尤其妊娠早期不宜服，以免胎动及早产等。此外，因龙眼肉葡萄糖含量较高，故糖尿病患者不宜多服。,《摄生秘剖》。,将前两味洗净，放入砂锅，加水煎汤，之后滤过取汁，冲泡绿茶，再加入适量冰糖即成。,枸杞龙眼茶,801,内科-失眠
清热除烦，止渴宁心。,鲜竹叶60g。,热病后心烦口渴，睡卧不宁等。,本茶在《圣济总录》中为治疗霍乱而设，但是在民间盛行作为夏季清凉饮料，清热解暑之用。竹叶性寒，味甘、淡，《神农本草经》记载:“竹叶清香透心，微苦，凉气热气俱清……主治暑热消渴。”《本草纲目》云其:“去烦热，利小便，清心。”可见竹叶以清热除烦、止渴宁心为长。本方代茶温饮，每日1剂，分上、下午2次饮服。既可疗疾，亦是夏季清热解暑之良品。,《圣济总录》。,将鲜竹叶洗净，放入锅内，加适量水浓煎，取汁即成。,竹叶宁心茶,802,内科-失眠
宁心安神，清心除烦。,灯心草10~20g。,失眠，心烦或夜不合眼，小儿心烦夜啼等。,灯心草性寒，凭借清心降火之功，使心火不亢，神志安宁，因而它适用于水亏火旺的失眠及小儿夜啼。《药品化义》谓灯心草治“淋闭水肿、小便不利、暑热便浊、小儿夜啼，皆清热之功也。世疑清淡之物，以为力薄而忽略之，不知轻可去实……”《本草纲目》称其:“降心火，止血，通气，散肿，止渴。”本品无任何异味，可日常代茶温饮，不拘时常服。服用本茶具有一定安眠作用。但需注意，下焦虚寒小便不禁者慎用。,《集简方》。,将灯心草洗净，放入锅内，加适量水浓煎，取汁即成。,安睡茶,803,内科-失眠
芳香开窍，宁心安神。,九节菖蒲（石菖蒲）1.5g，杨梅（去核）2枚，大枣（去核）2枚，红糖适量。,失眠多梦，心悸不宁。,该方是历来用于治疗心气不足所致的失眠多梦、心悸不宁等的茶方。菖蒲为天南星科植物石菖蒲的根茎。所谓九节，系描述其根茎之环节紧密，如《本草别录》云:“一寸九节者良，与本品显著不同。”菖蒲性温，味辛、苦，具有开窍、化痰、健胃的功能。其能引药入心，对心经痰阻经脉、神志欠清者有效。《重庆堂随笔》载:“石菖蒲，舒心气，畅心神，怡心情，益心志，妙药也。”《本经逢原》又云：“菖蒲，心气不足者宜之。”杨梅能和中消食、生津止渴。《本草纲目》谓其:“止渴，和五脏，能涤胃肠，除烦溃恶气。”现代研究证明，杨梅含有多种有机酸，维生素C的含量也十分丰富，鲜果味酸，食之可增加胃中酸度，消化食物，促进食欲。大枣味甘性温，归脾、胃经，有补中益气、养血安神、缓和药性的功能。现代药理研究发现，大枣能使血中含氧量增加，滋养全身细胞，是一种药效缓和的强壮剂。且含有多种氨基酸、胡萝卜素、维生素、铁、钙、磷等物质，不仅能促进女性雌激素等的分泌，加强胸部发育，还有补益脾胃、调和药性、养血宁神的功效。本方代茶温饮，不拘时常服，冲饮至味淡。,经验方。,将九节菖蒲撕成丝后，加杨梅（去核）2枚，大枣（去核）2枚，放入砂锅中，加水煎汤，之后滤过取汁，再加入适量红糖。,菖蒲茶,804,内科-失眠
交通心肾。,黑豆、浮小麦各30g，莲子、黑枣各7个，冰糖少许。,心肾不交引起的虚烦不眠、夜寐盗汗、神疲乏力、记忆力减退、健忘等。,黑豆通常称黑大豆，主入肾经，滋补肾阴，是其专长。浮小麦入心经，功在清心。《现代实用中药》谓其有“补心，止烦除热，敛汗，利小便”的功效，临床常用以止自汗盗汗。莲子补中养神、益气清心。《太平惠民和剂局方》用清心莲子饮治心火上炎、肾阴不足所致的口舌干燥，遗精淋浊等。本方用莲子治失眠，也是取其清心之效。如心火过亢，则莲子宜带莲子心用，以加强清心之功。关于黑枣，《药性》说:“今人于温脾健胃，则用大枣；滋阴养胃，则用黑枣。黑枣黏性多而温性少。”豆麦茶内用黑枣，实具有滋肾阴、补脾胃的双重意义。四味药同煮，加少许冰糖，可交通心肾。注意:脾虚腹胀便泻者慎用。,经验方。,将上四味同煮汁，滤渣，调入冰糖少许令溶即得。代茶饮用。,豆麦茶,805,内科-失眠
养心健脾，解郁理气。,合欢花6g，白糖适量。,神经衰弱，胸闷不舒，眼疾等。,合欢花，味甘、苦，性平，无毒，归心、脾经，有宁神作用，可治郁结胸闷、失眠健忘、神经衰弱等。《神农本草经》言其“安五脏，和心志，令人欢乐无忧，明目”。《本草纲目》言其“安五脏，和心志，令人欢乐无忧。久服，轻身明目”。本方代茶饮用，药性平和，常饮可使身心愉快、头脑清晰，健忘失眠皆可应用。故嵇康《养生论》中曰：“合欢蠲忿，萱草忘忧。”,经验方。,将合欢花洗净后用沸水冲泡，加入白糖即可饮用。,合欢花茶,806,内科-失眠
平肝益肾，养血安神。,炒决明子250g，甘菊、夏枯草、橘饼、首乌、五味子各30g，麦冬、枸杞、桂圆肉各60g，桑椹（黑者）120g。,神经衰弱及高血压、动脉硬化、冠心病的辅助治疗。,本方中决明子为主药，其味甘而性凉，具有清肝、明目、利水、通便等功能，用于目赤涩痛，畏光多泪，头痛眩晕，目暗不明，大便秘结等。《药性论》谓其:“利五脏，除肝家热。味苦、辛，性微寒。”甘菊、夏枯草清热明目。橘饼理气宽中。五味子酸以收涩，补肾宁心。桂圆肉补益心脾、养血安神。麦冬、桑椹、枸杞滋阴润燥、补益肝肾。上十味合用，共奏平肝益肾、养血安神之效。本方代茶温饮，每次15g，每日2次。不拘时常服，冲饮至味淡。,《山东中医杂志》。,上药共为粗末，开水冲泡。,脑清茶,807,内科-失眠
